I1028 12:35:14.737182       1 flags.go:52] FLAG: --address=":8085"
I1028 12:35:14.737202       1 flags.go:52] FLAG: --alsologtostderr="false"
I1028 12:35:14.737207       1 flags.go:52] FLAG: --balance-similar-node-groups="true"
I1028 12:35:14.737210       1 flags.go:52] FLAG: --cloud-config=""
I1028 12:35:14.737214       1 flags.go:52] FLAG: --cloud-provider="aws"
I1028 12:35:14.737218       1 flags.go:52] FLAG: --cloud-provider-gce-lb-src-cidrs="130.211.0.0/22,209.85.152.0/22,209.85.204.0/22,35.191.0.0/16"
I1028 12:35:14.737225       1 flags.go:52] FLAG: --cluster-name=""
I1028 12:35:14.737229       1 flags.go:52] FLAG: --cores-total="0:320000"
I1028 12:35:14.737233       1 flags.go:52] FLAG: --estimator="binpacking"
I1028 12:35:14.737237       1 flags.go:52] FLAG: --expander="priority"
I1028 12:35:14.737241       1 flags.go:52] FLAG: --expendable-pods-priority-cutoff="-10"
I1028 12:35:14.737246       1 flags.go:52] FLAG: --filter-out-schedulable-pods-uses-packing="true"
I1028 12:35:14.737250       1 flags.go:52] FLAG: --gke-api-endpoint=""
I1028 12:35:14.737255       1 flags.go:52] FLAG: --gpu-total="[]"
I1028 12:35:14.737260       1 flags.go:52] FLAG: --ignore-daemonsets-utilization="false"
I1028 12:35:14.737264       1 flags.go:52] FLAG: --ignore-mirror-pods-utilization="false"
I1028 12:35:14.737268       1 flags.go:52] FLAG: --ignore-taint="[]"
I1028 12:35:14.737272       1 flags.go:52] FLAG: --kubeconfig=""
I1028 12:35:14.737276       1 flags.go:52] FLAG: --kubernetes=""
I1028 12:35:14.737281       1 flags.go:52] FLAG: --leader-elect="true"
I1028 12:35:14.737296       1 flags.go:52] FLAG: --leader-elect-lease-duration="15s"
I1028 12:35:14.737302       1 flags.go:52] FLAG: --leader-elect-renew-deadline="10s"
I1028 12:35:14.737306       1 flags.go:52] FLAG: --leader-elect-resource-lock="endpoints"
I1028 12:35:14.737311       1 flags.go:52] FLAG: --leader-elect-retry-period="2s"
I1028 12:35:14.737315       1 flags.go:52] FLAG: --log-backtrace-at=":0"
I1028 12:35:14.737320       1 flags.go:52] FLAG: --log-dir=""
I1028 12:35:14.737324       1 flags.go:52] FLAG: --log-file=""
I1028 12:35:14.737328       1 flags.go:52] FLAG: --logtostderr="true"
I1028 12:35:14.737332       1 flags.go:52] FLAG: --max-autoprovisioned-node-group-count="15"
I1028 12:35:14.737336       1 flags.go:52] FLAG: --max-bulk-soft-taint-count="10"
I1028 12:35:14.737340       1 flags.go:52] FLAG: --max-bulk-soft-taint-time="3s"
I1028 12:35:14.737347       1 flags.go:52] FLAG: --max-empty-bulk-delete="30"
I1028 12:35:14.737351       1 flags.go:52] FLAG: --max-failing-time="15m0s"
I1028 12:35:14.737356       1 flags.go:52] FLAG: --max-graceful-termination-sec="600"
I1028 12:35:14.737359       1 flags.go:52] FLAG: --max-inactivity="10m0s"
I1028 12:35:14.737364       1 flags.go:52] FLAG: --max-node-provision-time="5m0s"
I1028 12:35:14.737368       1 flags.go:52] FLAG: --max-nodes-total="0"
I1028 12:35:14.737372       1 flags.go:52] FLAG: --max-total-unready-percentage="75"
I1028 12:35:14.737376       1 flags.go:52] FLAG: --memory-total="0:6400000"
I1028 12:35:14.737380       1 flags.go:52] FLAG: --min-replica-count="0"
I1028 12:35:14.737384       1 flags.go:52] FLAG: --namespace="kube-system"
I1028 12:35:14.737387       1 flags.go:52] FLAG: --new-pod-scale-up-delay="0s"
I1028 12:35:14.737391       1 flags.go:52] FLAG: --node-autoprovisioning-enabled="false"
I1028 12:35:14.737395       1 flags.go:52] FLAG: --node-group-auto-discovery="[]"
I1028 12:35:14.737399       1 flags.go:52] FLAG: --nodes="[0:5:eksctl-eks-spot-demo-nodegroup-SPOT-NodeGroup-CTS7Q22CLVPT 0:5:eksctl-eks-spot-demo-nodegroup-OnDemand-NodeGroup-1WBT5PP03OQ4J]"
I1028 12:35:14.737410       1 flags.go:52] FLAG: --ok-total-unready-count="20"
I1028 12:35:14.737414       1 flags.go:52] FLAG: --regional="false"
I1028 12:35:14.737419       1 flags.go:52] FLAG: --scale-down-candidates-pool-min-count="50"
I1028 12:35:14.737423       1 flags.go:52] FLAG: --scale-down-candidates-pool-ratio="0.1"
I1028 12:35:14.737429       1 flags.go:52] FLAG: --scale-down-delay-after-add="2m0s"
I1028 12:35:14.737433       1 flags.go:52] FLAG: --scale-down-delay-after-delete="10s"
I1028 12:35:14.737438       1 flags.go:52] FLAG: --scale-down-delay-after-failure="3m0s"
I1028 12:35:14.737442       1 flags.go:52] FLAG: --scale-down-enabled="true"
I1028 12:35:14.737447       1 flags.go:52] FLAG: --scale-down-non-empty-candidates-count="30"
I1028 12:35:14.737451       1 flags.go:52] FLAG: --scale-down-unneeded-time="1m0s"
I1028 12:35:14.737456       1 flags.go:52] FLAG: --scale-down-unready-time="2m0s"
I1028 12:35:14.737461       1 flags.go:52] FLAG: --scale-down-utilization-threshold="0.7"
I1028 12:35:14.737465       1 flags.go:52] FLAG: --scan-interval="10s"
I1028 12:35:14.737470       1 flags.go:52] FLAG: --skip-headers="false"
I1028 12:35:14.737475       1 flags.go:52] FLAG: --skip-nodes-with-local-storage="false"
I1028 12:35:14.737479       1 flags.go:52] FLAG: --skip-nodes-with-system-pods="true"
I1028 12:35:14.737484       1 flags.go:52] FLAG: --stderrthreshold="0"
I1028 12:35:14.737487       1 flags.go:52] FLAG: --test.bench=""
I1028 12:35:14.737491       1 flags.go:52] FLAG: --test.benchmem="false"
I1028 12:35:14.737495       1 flags.go:52] FLAG: --test.benchtime="1s"
I1028 12:35:14.737499       1 flags.go:52] FLAG: --test.blockprofile=""
I1028 12:35:14.737503       1 flags.go:52] FLAG: --test.blockprofilerate="1"
I1028 12:35:14.737507       1 flags.go:52] FLAG: --test.count="1"
I1028 12:35:14.737511       1 flags.go:52] FLAG: --test.coverprofile=""
I1028 12:35:14.737516       1 flags.go:52] FLAG: --test.cpu=""
I1028 12:35:14.737520       1 flags.go:52] FLAG: --test.cpuprofile=""
I1028 12:35:14.737523       1 flags.go:52] FLAG: --test.failfast="false"
I1028 12:35:14.737527       1 flags.go:52] FLAG: --test.list=""
I1028 12:35:14.737531       1 flags.go:52] FLAG: --test.memprofile=""
I1028 12:35:14.737535       1 flags.go:52] FLAG: --test.memprofilerate="0"
I1028 12:35:14.737539       1 flags.go:52] FLAG: --test.mutexprofile=""
I1028 12:35:14.737543       1 flags.go:52] FLAG: --test.mutexprofilefraction="1"
I1028 12:35:14.737550       1 flags.go:52] FLAG: --test.outputdir=""
I1028 12:35:14.737554       1 flags.go:52] FLAG: --test.parallel="2"
I1028 12:35:14.737559       1 flags.go:52] FLAG: --test.run=""
I1028 12:35:14.737563       1 flags.go:52] FLAG: --test.short="false"
I1028 12:35:14.737567       1 flags.go:52] FLAG: --test.testlogfile=""
I1028 12:35:14.737571       1 flags.go:52] FLAG: --test.timeout="0s"
I1028 12:35:14.737575       1 flags.go:52] FLAG: --test.trace=""
I1028 12:35:14.737579       1 flags.go:52] FLAG: --test.v="false"
I1028 12:35:14.737583       1 flags.go:52] FLAG: --unremovable-node-recheck-timeout="5m0s"
I1028 12:35:14.737588       1 flags.go:52] FLAG: --v="4"
I1028 12:35:14.737592       1 flags.go:52] FLAG: --vmodule=""
I1028 12:35:14.737597       1 flags.go:52] FLAG: --write-status-configmap="true"
I1028 12:35:14.737609       1 main.go:347] Cluster Autoscaler 1.14.7
I1028 12:35:14.842483       1 leaderelection.go:217] attempting to acquire leader lease  kube-system/cluster-autoscaler...
I1028 12:35:14.845836       1 leaderelection.go:326] lock is held by cluster-autoscaler-6449bf4d8c-tsqlw and has not yet expired
I1028 12:35:14.845853       1 leaderelection.go:222] failed to acquire lease kube-system/cluster-autoscaler
I1028 12:35:18.300573       1 leaderelection.go:326] lock is held by cluster-autoscaler-6449bf4d8c-tsqlw and has not yet expired
I1028 12:35:18.300591       1 leaderelection.go:222] failed to acquire lease kube-system/cluster-autoscaler
I1028 12:35:22.561271       1 leaderelection.go:326] lock is held by cluster-autoscaler-6449bf4d8c-tsqlw and has not yet expired
I1028 12:35:22.561288       1 leaderelection.go:222] failed to acquire lease kube-system/cluster-autoscaler
I1028 12:35:26.159808       1 leaderelection.go:326] lock is held by cluster-autoscaler-6449bf4d8c-tsqlw and has not yet expired
I1028 12:35:26.159827       1 leaderelection.go:222] failed to acquire lease kube-system/cluster-autoscaler
I1028 12:35:29.213771       1 leaderelection.go:326] lock is held by cluster-autoscaler-6449bf4d8c-tsqlw and has not yet expired
I1028 12:35:29.213788       1 leaderelection.go:222] failed to acquire lease kube-system/cluster-autoscaler
I1028 12:35:32.241556       1 leaderelection.go:227] successfully acquired lease kube-system/cluster-autoscaler
I1028 12:35:32.242111       1 event.go:209] Event(v1.ObjectReference{Kind:"Endpoints", Namespace:"kube-system", Name:"cluster-autoscaler", UID:"75f6f7da-44e2-4aa7-9c73-21605aeee7ec", APIVersion:"v1", ResourceVersion:"27797403", FieldPath:""}): type: 'Normal' reason: 'LeaderElection' cluster-autoscaler-5d78fbbcb5-khvw7 became leader
I1028 12:35:32.243730       1 reflector.go:123] Starting reflector *v1.Pod (1h0m0s) from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:215
I1028 12:35:32.243757       1 reflector.go:161] Listing and watching *v1.Pod from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:215
I1028 12:35:32.243962       1 reflector.go:123] Starting reflector *v1.Node (1h0m0s) from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:253
I1028 12:35:32.244002       1 reflector.go:161] Listing and watching *v1.Node from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:253
I1028 12:35:32.244004       1 reflector.go:123] Starting reflector *v1.Pod (1h0m0s) from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:190
I1028 12:35:32.244048       1 reflector.go:161] Listing and watching *v1.Pod from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:190
I1028 12:35:32.244209       1 reflector.go:123] Starting reflector *v1.ReplicationController (1h0m0s) from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:329
I1028 12:35:32.244222       1 reflector.go:161] Listing and watching *v1.ReplicationController from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:329
I1028 12:35:32.244251       1 reflector.go:123] Starting reflector *v1.Job (1h0m0s) from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:339
I1028 12:35:32.244274       1 reflector.go:161] Listing and watching *v1.Job from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:339
I1028 12:35:32.244372       1 reflector.go:123] Starting reflector *v1.ReplicaSet (1h0m0s) from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:349
I1028 12:35:32.244405       1 reflector.go:161] Listing and watching *v1.ReplicaSet from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:349
I1028 12:35:32.244420       1 reflector.go:123] Starting reflector *v1beta1.PodDisruptionBudget (1h0m0s) from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:307
I1028 12:35:32.244448       1 reflector.go:161] Listing and watching *v1beta1.PodDisruptionBudget from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:307
I1028 12:35:32.244569       1 reflector.go:123] Starting reflector *v1.DaemonSet (1h0m0s) from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:319
I1028 12:35:32.244580       1 reflector.go:161] Listing and watching *v1.DaemonSet from k8s.io/autoscaler/cluster-autoscaler/utils/kubernetes/listers.go:319
